Ticker,Short Name,  Market Cap  ,, Exchange ,,GICS Sector Name
AAPL US Equity,APPLE INC,"580,496,982,016",,NASDAQ GS,,Information Technology
GOOGL US Equity,ALPHABET INC-A,"538,316,570,624",,NASDAQ GS,,Information Technology
GOOG US Equity,ALPHABET INC-C,"538,316,570,624",,NASDAQ GS,,Information Technology
MSFT US Equity,MICROSOFT CORP,"449,394,376,704",,NASDAQ GS,,Information Technology
BRK/B US Equity,BERKSHIRE HATH-B,"371,619,233,792",,New York,,Financials
BRK/A US Equity,BERKSHIRE HATH-A,"371,619,233,792",,New York,,Financials
AMZN US Equity,AMAZON.COM INC,"366,193,377,280",,NASDAQ GS,,Consumer Discretionary
FB US Equity,FACEBOOK INC-A,"363,251,728,384",,NASDAQ GS,,Information Technology
XOM US Equity,EXXON MOBIL CORP,"362,500,161,536",,New York,,Energy
JNJ US Equity,JOHNSON&JOHNSON,"326,444,810,240",,New York,,Health Care
GE US Equity,GENERAL ELECTRIC,"280,396,988,416",,New York,,Industrials
WFC US Equity,WELLS FARGO & CO,"255,052,414,976",,New York,,Financials
CHL US Equity,CHINA MOBILE-ADR,"253,486,481,408",,New York,,Telecommunication Services
T US Equity,AT&T INC,"251,924,398,080",,New York,,Telecommunication Services
BABA US Equity,ALIBABA GRP-ADR,"247,656,218,624",,New York,,Information Technology
JPM US Equity,JPMORGAN CHASE,"243,772,686,336",,New York,,Financials
PG US Equity,PROCTER & GAMBLE,"235,439,833,088",,New York,,Consumer Staples
WMT US Equity,WAL-MART STORES,"224,261,177,344",,New York,,Consumer Staples
VZ US Equity,VERIZON COMMUNIC,"215,554,834,432",,New York,,Telecommunication Services
PFE US Equity,PFIZER INC,"210,902,728,704",,New York,,Health Care
NVS US Equity,NOVARTIS AG-ADR,"208,540,368,896",,New York,,Health Care
RDS/B US Equity,ROYAL DUTCH-ADR,"205,824,425,984",,New York,,Energy
RDS/A US Equity,ROYAL DUTCH-ADR,"205,824,425,984",,New York,,Energy
BUD US Equity,ANHEUSER-SPN ADR,"203,860,770,816",,New York,,Consumer Staples
TM US Equity,TOYOTA MOTOR-ADR,"203,751,374,848",,New York,,Consumer Discretionary
PTR US Equity,PETROCHINA -ADR,"195,264,233,472",,New York,,Energy
V US Equity,VISA INC-CLASS A,"193,586,413,568",,New York,,Information Technology
CVX US Equity,CHEVRON CORP,"190,406,508,544",,New York,,Energy
KO US Equity,COCA-COLA CO/THE,"188,437,839,872",,New York,,Consumer Staples
MRK US Equity,MERCK & CO,"174,152,810,496",,New York,,Health Care
INTC US Equity,INTEL CORP,"170,694,475,776",,NASDAQ GS,,Information Technology
ORCL US Equity,ORACLE CORP,"170,062,610,432",,New York,,Information Technology
HD US Equity,HOME DEPOT INC,"166,987,776,000",,New York,,Consumer Discretionary
BAC US Equity,BANK OF AMERICA,"163,276,783,616",,New York,,Financials
CSCO US Equity,CISCO SYSTEMS,"160,095,731,712",,NASDAQ GS,,Information Technology
CMCSA US Equity,COMCAST CORP-A,"159,566,397,440",,NASDAQ GS,,Consumer Discretionary
PM US Equity,PHILIP MORRIS IN,"157,878,550,528",,New York,,Consumer Staples
PEP US Equity,PEPSICO INC,"155,241,955,328",,New York,,Consumer Staples
HSBC US Equity,HSBC HOLDING-ADR,"153,659,736,064",,New York,,Financials
IBM US Equity,IBM,"152,504,942,592",,New York,,Information Technology
DIS US Equity,WALT DISNEY CO,"151,742,496,768",,New York,,Consumer Discretionary
TSM US Equity,TAIWAN SEMIC-ADR,"151,122,264,064",,New York,,Information Technology
UN US Equity,UNILEVER NV-NYS,"145,895,636,992",,New York,,Consumer Staples
UL US Equity,UNILEVER PLC-ADR,"145,838,063,616",,New York,,Consumer Staples
C US Equity,CITIGROUP INC,"138,034,315,264",,New York,,Financials
MO US Equity,ALTRIA GROUP INC,"130,673,795,072",,New York,,Consumer Staples
UNH US Equity,UNITEDHEALTH GRP,"130,106,187,776",,New York,,Health Care
AMGN US Equity,AMGEN INC,"127,049,228,288",,NASDAQ GS,,Health Care
TOT US Equity,TOTAL SA-SP ADR,"122,540,040,192",,New York,,Energy
MDT US Equity,MEDTRONIC PLC,"121,682,583,552",,New York,,Health Care
NVO US Equity,NOVO-NORDISK-ADR,"116,790,001,664",,New York,,Health Care
SAP US Equity,SAP SE-SPONS ADR,"110,123,122,688",,New York,,Information Technology
MMM US Equity,3M CO,"109,281,615,872",,New York,,Industrials
SLB US Equity,SCHLUMBERGER LTD,"109,238,976,512",,New York,,Energy
KHC US Equity,KRAFT HEINZ CO/T,"109,113,696,256",,NASDAQ GS,,Consumer Staples
BP US Equity,BP PLC-ADR,"108,010,684,416",,New York,,Energy
GSK US Equity,GLAXOSMITHKL-ADR,"107,895,480,320",,New York,,Health Care
MA US Equity,MASTERCARD INC-A,"107,458,117,632",,New York,,Information Technology
ABBV US Equity,ABBVIE INC,"104,422,137,856",,New York,,Health Care
